词,频次
鞋底,9
魔幻,9
两分钟,9
直播,9
以前,9
特别,9
只有,9
短,9
混,9
之,9
傅园慧,9
再来,9
地,9
脸,9
离婚,9
很多,9
妈妈,9
原,9
三弦,9
中国,9
强,9
王宁,9
兮,9
TFBOYS,9
邓紫棋,9
压力,8
拥,8
喝,8
真怀,8
数学,8
呐,8
看见,8
认可,8
哎呀,8
怀孕,8
包饺,8
容易,8
真不错,8
米诺斯,8
差评,8
烦,8
嗯,8
精髓,8
连招,8
干嘛,8
阿,8
关,8
B,8
喷,8
就要,8
没事,8
小孩,8
一天,8
存在,8
头皮发麻,8
转折,8
4,8
",",8
确信,8
woc,8
至此,8
已成,8
放假,8
虽然,8
二进制,8
灵魂,8
吃饱,8
多少,8
兄弟,8
高手,8
晚上,8
币,8
下次,8
口音,8
能量,8
笑点,8
哪里,8
标准,8
站,8
南方,8
高能,8
天天,8
大学,8
疫情,8
...,8
巳,8
赵本山,8
差点,8
吵,8
8,8
骇死,8
高考,8
0,8
观看,8
流传,8
只能,8
青海,8
耿鬼,8
牛批,8
开花,8
锅包肉,8
宝可梦,8
旭东,8
周杰伦,8
这演,8
狗屁,8
王妈,8
记住,8
瑞士,8
三棱锥,7
公司,7
那些,7
60,7
作文,7
儿,7
tm,7
触发,7
不算,7
到位,7
害怕,7
婆婆,7
一模一样,7
要来力,7
两,7
就算,7
rap,7
儿子,7
不够,7
段,7
幽默,7
减轻负担,7
安排,7
辣,7
过去,7
准备,7
咯,7
我家,7
结果,7
BGM,7
嘻,7
左边,7
拉满,7
心脏,7
骤停,7
过多,7
质量,7
买,7
出院,7
不管,7
以后,7
胃,7
出去,7
变成,7
憋不住,7
看得,7
衣服,7
阶段,7
只要,7
隔壁,7
加班,7
张译,7
配音,7
单身,7
终于,7
有个,7
小时,7
熟悉,7
脚,7
讽刺,7
中文,7
豆角,7
麦克阿瑟,7
嗷,7
太棒了,7
前方,7
搁,7
晚会,7
金,7
坷垃,7
无所谓,7
没意思,7
广告,7
没错,7
成,7
哇,7
区别,7
热度,7
讲,7
鬼,7
来看,7
秦岚,7
张颂文,7
警告,7
吼吼,7
呜,7
全部,7
好多,7
下去,7
diss,7
广告位,7
崩,7
张小丽,7
好活,7
礼崩乐坏,7
冰冰,7
摇滚,7
一共,7
一块儿,7
进制,7
四六级,7
大赛,7
歌,7
人见人爱,7
看点,7
豹猫,7
成毅来,7
能活,6
久,6
仨,6
考研,6
弹幕,6
哪吒,6
六个,6
明年,6
生个,6
蜂蜜,6
9,6
生就,6
名,6
这集,6
合着,6
狗头,6
一半,6
牛魔,6
咱们,6
抠出,6
父母,6
四,6
扣分,6
说得好,6
社会,6
到时候,6
时事,6
典,6
抱歉,6
喜,6
算是,6
冷,6
干脆,6
太牛,6
金靖,6
线到,6
第一,6
整,6
顺口溜,6
坚持,6
疯,6
一黑,6
石,6
史,6
年夜饭,6
区,6
主,6
幸福,6
陈佩斯,6
词,6
郭子,6
生理,6
疯狂,6
之前,6
拼,6
不过,6
人家,6
憋,6
复杂,6
非常,6
bushi,6
天呐,6
刀,6
真正,6
念,6
滚,6
正,6
难熬,6
任何,6
起手,6
右下角,6
鼓掌,6
传,6
成分,6
坐,6
毛病,6
没看,6
忘,6
粉丝,6
从来不,6
越来越,6
反应,6
连,6
类节目,6
文明,6
名字,6
我力,6
现状,6
央视,6
姬霓,6
日,6
依旧,6
幻视,6
酱,6
2333333,6
背景,6
blue,6
要求,6
手,6
摇,6
至少,6
迪士尼,6
看吧,6
啥意思,6
经济,6
头发,6
中心,6
婚,6
乐,6
过于,6
大碟,6
感情,6
哒,6
眼睛,6
姐,6
矛盾,6
东北,6
这位,6
类,6
007,6
制作,6
真会,6
同行,6
衬托,6
4090ti,6
歌舞,6
长得,6
坑,6
豹,6
九月,6
宇宙,6
三角,6
别结,6
如潮,6
铁柱,6
踢,6
意识流,6
